customer,month,mrr
Customer 001,2025-01,574.83
Customer 002,2025-01,848.98
Customer 003,2025-01,1162.45
Customer 004,2025-01,2269.14
Customer 005,2025-01,4157.84
Customer 006,2025-01,3773.04
Customer 007,2025-01,1831.77
Customer 008,2025-01,3376.68
Customer 009,2025-01,1042.86
Customer 010,2025-01,1070.43
Customer 011,2025-01,2472.42
Customer 012,2025-01,1357.85
Customer 013,2025-01,4500.85
Customer 014,2025-01,1298.05
Customer 015,2025-01,3684.14
Customer 016,2025-01,6424.4
Customer 017,2025-01,2248.45
Customer 018,2025-01,5010.86
Customer 019,2025-01,950.0
Customer 020,2025-01,4621.22
Customer 021,2025-01,1099.9
Customer 022,2025-01,1325.41
Customer 023,2025-01,1435.52
Customer 024,2025-01,9913.2
Customer 025,2025-01,2218.79
Customer 026,2025-01,4238.61
Customer 027,2025-01,4355.02
Customer 028,2025-01,4255.12
Customer 029,2025-01,1651.2
Customer 030,2025-01,6444.07
Customer 031,2025-01,980.29
Customer 032,2025-01,816.16
Customer 033,2025-01,166.79
Customer 034,2025-01,8048.22
Customer 035,2025-01,11314.45
Customer 036,2025-01,4713.11
Customer 037,2025-01,1487.74
Customer 038,2025-01,877.47
Customer 039,2025-01,834.7
Customer 040,2025-01,3040.73
Customer 041,2025-01,31417.07
Customer 042,2025-01,433.12
Customer 043,2025-01,794.86
Customer 044,2025-01,5044.95
Customer 045,2025-01,1036.26
Customer 046,2025-01,1263.19
Customer 047,2025-01,7933.18
Customer 048,2025-01,10618.87
Customer 049,2025-01,24923.9
Customer 050,2025-01,1224.51
Customer 051,2025-01,7742.92
Customer 052,2025-01,1468.96
Customer 053,2025-01,1430.8
Customer 054,2025-01,4728.98
Customer 055,2025-01,1867.76
Customer 056,2025-01,1723.94
Customer 057,2025-01,836.47
Customer 058,2025-01,1480.46
Customer 059,2025-01,3508.34
Customer 060,2025-01,2594.6
Customer 061,2025-01,515.96
Customer 062,2025-01,7504.25
Customer 063,2025-01,2114.42
Customer 064,2025-01,522.08
Customer 065,2025-01,5831.26
Customer 066,2025-01,855.01
Customer 067,2025-01,5007.65
Customer 068,2025-01,1220.32
Customer 069,2025-01,1278.47
Customer 070,2025-01,2722.9
Customer 071,2025-01,1435.38
Customer 072,2025-01,802.18
Customer 073,2025-01,2778.24
Customer 074,2025-01,763.3
Customer 075,2025-01,2458.01
Customer 076,2025-01,2610.85
Customer 077,2025-01,3310.57
Customer 078,2025-01,2470.69
Customer 079,2025-01,9693.83
Customer 080,2025-01,3088.44
Customer 081,2025-01,4953.59
Customer 082,2025-01,971.16
Customer 083,2025-01,1015.24
Customer 084,2025-01,2716.1
Customer 085,2025-01,3147.56
Customer 086,2025-01,832.54
Customer 087,2025-01,5997.02
